序号	日期	手机+账号	拍剪员	视频链接	产品	国家	GMV	出单数量	佣金	佣金GMV	GMV人民币	佣金人民币
1	2026/01/01	36-@la.negrita.1	刘茜	https://www.tiktok.com/t/ZThfU6v2h/	勇敢项链	美国	$30.70	2	$0.00	$30.70	¥208.76	¥0.00
2	2026/01/02	36-@la.negrita.1	刘茜	https://www.tiktok.com/t/ZThfU6v2h/	勇敢项链	美国	$15.35	1	$0.00	$15.35	¥104.38	¥0.00
3	2026/01/03	35-@chen36239	刘茜	https://www.tiktok.com/@chen36239/video/7542400807245712695?_r=1&_t=ZT-93dM66G6TT3	父亲节手环	美国	$47.96	3	$0.30	$47.96	¥326.13	¥2.04
4	2026/01/03	35-@chen36239	刘茜	https://www.tiktok.com/@chen36239/video/7538743728895298830?_r=1&_t=ZT-93dM7XdSQ1t	父亲节手环	美国	$19.48	1	$0.10	$19.48	¥132.46	¥0.65
5	2026/01/03	36-@la.negrita.1	刘茜	https://www.tiktok.com/t/ZThfU6v2h/	勇敢项链	美国	$15.35	1	$0.00	$15.35	¥104.38	¥0.00
6	2026/01/04	@skaterollerodssey（已弃用）	刘茜	https://www.tiktok.com/@skaterollerodyssey/video/7591409486208847135	钥匙扣	美国	$8.98	1	$0.03	$8.98	¥61.06	¥0.20
7	2026/01/07	22-@cdfbhhb4	历史视频	https://www.tiktok.com/@cdfbhhb4/video/7555800641336118583?_r=1&_t=ZT-93dCd5e1kmT	钥匙扣	美国	$57.25	7	$0.00	$57.25	¥389.30	¥0.00
8	2026/01/08	35-@chen36239	橱窗	橱窗	父亲节手环	美国	$11.97	1	$0.10	$11.97	¥81.40	¥0.65
9	2026/01/10	10-@melvqvs	历史视频	https://www.tiktok.com/@melvqvs/video/7545420282568264990?_r=1&_t=ZP-93dCIfwu5aJ	钥匙扣	美国	$22.47	3	$0.00	$22.47	¥152.80	¥0.00
10	2026/01/10	@lowell3162（已弃用）	橱窗	橱窗	父亲节手环	美国	$11.68	1	$0.00	$11.68	¥79.42	¥0.00
11	2026/01/10	22-@cdfbhhb4	涂欣然	https://www.tiktok.com/@cdfbhhb4/video/7595067562753363213?lang=en	勇敢项链	美国	$11.50	1	$0.00	$11.50	¥78.20	¥0.00
12	2026/01/13	22-@cdfbhhb4	历史视频	https://www.tiktok.com/@cdfbhhb4/video/7555453184160845111?_r=1&_t=ZT-93dChiBmWH0	钥匙扣	美国	$7.53	1	$0.00	$7.53	¥51.20	¥0.00
13	2026/01/15	07-@gracefulwheelsgirl	赵永琪	https://www.tiktok.com/@gracefulwheelsgirl/video/7577349785108188471?_r=1&_t=ZT-93dCQqQySac	黑色头套	美国	$9.92	1	$0.70	$9.45	¥67.48	¥4.76
14	2026/01/17	@lowell3162（已弃用）	橱窗	橱窗	父亲节手环	美国	$11.68	1	$0.00	$11.68	¥79.42	¥0.00
15	2026/01/17	22-@cdfbhhb4	历史视频	https://www.tiktok.com/@cdfbhhb4/video/7551744693701315853?_r=1&_t=ZT-93dCmtwNA7h	钥匙扣	美国	$8.98	1	$0.00	$8.98	¥61.06	¥0.00
16	2026/01/20	@nurahyse0su（已弃用）	刘茜	https://www.tiktok.com/@nurahyse0su/video/7596907599514176782?lang=en	勇敢项链	美国	$9.63	1	$0.00	$9.63	¥65.48	¥0.00
17	2026/01/20	@haihsosh（已弃用）	刘茜	https://www.tiktok.com/@haihsosh/video/7597270678751989005?lang=en	钥匙扣	美国	$8.98	1	$0.00	$8.98	¥61.06	¥0.00
18	2026/01/21	@nurahyse0su（已弃用）	刘茜	https://www.tiktok.com/@nurahyse0su/video/7596907599514176782?lang=en	勇敢项链	美国	$9.63	1	$0.00	$9.63	¥65.48	¥0.00
19	2026/01/21	02-@glidefreerollers	赵永琪	https://www.tiktok.com/@glidefreerollers/video/7597396326866816286	彩色毛巾	美国	$26.90	1	$1.61	$26.90	¥182.92	¥10.95
20	2026/01/23	@theonkrht35（已弃用）	谢园园	https://www.tiktok.com/@theonkrht35/video/7595498611597724942?lang=en	钥匙扣	美国	$8.67	1	$0.00	$8.67	¥58.96	¥0.00
21	2026/01/23	22-@cdfbhhb4	刘茜	https://www.tiktok.com/@cdfbhhb4/video/7549061300257590541?_r=1&_t=ZT-93dCn6ynzI5	勇敢项链	美国	$10.96	1	$0.00	$10.96	¥74.53	¥0.00
22	2026/01/24	31-@user282588296958	刘茜	https://www.tiktok.com/@user282588296958/video/7598039198653811999?lang=en	钥匙扣	美国	$9.97	1	$0.00	$9.97	¥67.80	¥0.00
23	2026/01/24	07-@gracefulwheelsgirl	赵永琪	https://www.tiktok.com/@gracefulwheelsgirl/video/7577349785108188471?_r=1&_t=ZT-93dCQqQySac	黑色头套	美国	$9.92	1	$0.70	$9.45	¥67.48	¥4.76
24	2026/01/25	08-@rawrollhisstyle	赵永琪	https://www.tiktok.com/@rawrollhisstyle/video/7576579232990579998	黑色头套	美国	$269.15	24	$20.33	$244.63	¥1,830.22	¥138.24
25	2026/01/26	35-@chen36239	历史视频	https://www.tiktok.com/@chen36239/video/7538367642969607438?_r=1&_t=ZT-93dM3CIPwIo	父亲节手环	美国	$11.97	1	$0.10	$11.97	¥81.40	¥0.65
26	2026/01/26	07-@gracefulwheelsgirl	赵永琪	https://www.tiktok.com/@gracefulwheelsgirl/video/7577349785108188471?_r=1&_t=ZT-93dCQqQySac	黑色头套	美国	$9.92	1	$0.70	$9.45	¥67.48	¥4.76
27	2026/01/27	05-@hisrollerjourneys	赵永琪	https://www.tiktok.com/@hisrollerjourneys/video/7577343405022350622?_r=1&_t=ZP-93dPXCI72rO	黑色头套	美国	$9.99	1	$0.70	$9.99	¥67.93	¥4.76
28	2026/01/28	41-@fvpvc681	谢园园	https://www.tiktok.com/@fvpvc681/video/7597040106519743757?lang=en	数字项链	美国	$55.78	2	$0.77	$55.78	¥379.30	¥5.26
29	2026/01/28	@c03vfgqsr0（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$199.00	1	$10.06	$171.55	¥79.60	¥4.02
30	2026/01/28	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7600310225790438673	经期按摩器	墨西哥	$160.00	1	$12.78	$154.31	¥64.00	¥5.11
31	2026/01/29	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7600311183077281025	经期按摩器	墨西哥	$923.08	6	$56.13	$923.08	¥369.23	¥22.45
32	2026/01/29	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7600310225790438673	经期按摩器	墨西哥	$769.23	5	$46.78	$769.23	¥307.69	¥18.71
33	2026/01/29	41-@fvpvc681	邵佳运	https://www.tiktok.com/@fvpvc681/video/7597036389233855758?lang=en	数字项链	美国	$59.98	1	$0.39	$59.98	¥407.86	¥2.63
34	2026/01/29	@c03vfgqsr0（已弃用）	赵雅如	https://www.tiktok.com/@c03vfgqsr0/video/7600314820755262740	经期按摩器	墨西哥	$332.17	2	$19.13	$318.17	¥132.87	¥7.65
35	2026/01/29	@hoo35nini35（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$307.69	2	$18.71	$307.69	¥123.08	¥7.48
36	2026/01/29	@c03vfgqsr0（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$166.08	1	$9.57	$159.09	¥66.43	¥3.83
37	2026/01/29	@scvkwvn29752（已弃用）	刘茜	https://www.tiktok.com/@scvkwvn29752/video/7600346950210194704	经期按摩器	墨西哥	$189.50	1	$1.18	$171.55	¥75.80	¥0.47
38	2026/01/29	@scvkwvn29752（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$189.50	1	$1.18	$171.55	¥75.80	¥0.47
39	2026/01/30	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7600311183077281025	经期按摩器	墨西哥	$2,514.29	16	$104.50	$2,514.29	¥1,005.71	¥41.80
40	2026/01/30	@hoo35nini35（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$1,571.43	10	$65.31	$1,571.43	¥628.57	¥26.13
41	2026/01/30	14-@hisrollroam	赵永琪	https://www.tiktok.com/@hisrollroam/video/7600744371176099127	彩色毛巾	美国	$50.04	2	$5.00	$45.60	¥340.27	¥34.00
42	2026/01/30	@c03vfgqsr0（已弃用）	赵雅如	https://www.tiktok.com/@c03vfgqsr0/video/7600314820755262740	经期按摩器	墨西哥	$352.07	2	$7.29	$318.17	¥140.83	¥2.92
43	2026/01/30	@c03vfgqsr0（已弃用）	刘茜	https://www.tiktok.com/@c03vfgqsr0/video/7600313669779541268	经期按摩器	墨西哥	$176.03	1	$3.65	$159.09	¥70.41	¥1.46
44	2026/01/30	@scvkwvn29752（已弃用）	刘茜	https://www.tiktok.com/@scvkwvn29752/video/7601048810294381841	经期按摩器	墨西哥	$174.58	1	$1.18	$171.55	¥69.83	¥0.47
45	2026/01/30	@scvkwvn29752（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$174.58	1	$1.18	$171.55	¥69.83	¥0.47
46	2026/01/30	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7600722762965011713	经期按摩器	墨西哥	$157.14	1	$6.53	$157.14	¥62.86	¥2.61
47	2026/01/30	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7600310705841081616	经期按摩器	墨西哥	$157.14	1	$6.53	$157.14	¥62.86	¥2.61
